id,reference,transaction_type,amount,fee,total_amount,currency,source_account_id,source_user_id,destination_account_id,destination_user_id,merchant_id,agency_id,status,failure_reason,source_node,processing_node,source_datacenter,processing_datacenter,is_cross_dc,transaction_date,transaction_time,created_at,completed_at
17827,TX20240101738742,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-1,NKC-NODE-1,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
18454,TX20240101831477,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-2,NDB-NODE-1,DC-NDB,DC-NDB,false,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
21374,TX20240101438393,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-1,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
45210,TX20240101552437,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-1,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
46410,TX20240101020555,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-3,NKC-NODE-1,DC-NKC-SECONDARY,DC-NKC-PRIMARY,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
75651,TX20240101991971,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-1,NKC-NODE-1,DC-NDB,DC-NKC-PRIMARY,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
75840,TX20240101199836,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-1,NKC-NODE-3,DC-NDB,DC-NKC-SECONDARY,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
80547,TX20240101122053,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-2,NKC-NODE-1,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
82042,TX20240101598342,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-3,NDB-NODE-2,DC-NKC-SECONDARY,DC-NDB,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
82790,TX20240101958611,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-2,NDB-NODE-1,DC-NDB,DC-NDB,false,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
84844,TX20240101319320,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NKC-NODE-3,NKC-NODE-1,DC-NKC-SECONDARY,DC-NKC-PRIMARY,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
85030,TX20240101902735,BIL,35000,100,35100,MRU,2864,2620,,,,,FAILED,INSUFFICIENT_BALANCE,NDB-NODE-2,NKC-NODE-3,DC-NDB,DC-NKC-SECONDARY,true,2024-01-01,06:34:35,2024-01-01T05:34:35.793Z,2024-01-01T05:34:35.793Z
19628,TX20240101869736,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-2,NKC-NODE-3,DC-NKC-PRIMARY,DC-NKC-SECONDARY,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:47.426Z
19837,TX20240101430353,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-1,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:50.535Z
21086,TX20240101499761,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NDB-NODE-2,NKC-NODE-3,DC-NDB,DC-NKC-SECONDARY,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:49.401Z
21502,TX20240101315470,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-2,NKC-NODE-2,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:47.371Z
26669,TX20240101379427,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-3,NKC-NODE-1,DC-NKC-SECONDARY,DC-NKC-PRIMARY,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:48.104Z
27492,TX20240101251346,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-1,NKC-NODE-3,DC-NKC-PRIMARY,DC-NKC-SECONDARY,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:47.436Z
33423,TX20240101334724,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-1,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:50.453Z
84958,TX20240101614506,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-2,NKC-NODE-2,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:47.876Z
87005,TX20240101875721,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-2,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:48.621Z
88859,TX20240101096418,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-1,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:49.500Z
89786,TX20240101591104,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NDB-NODE-1,NDB-NODE-1,DC-NDB,DC-NDB,false,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:50.048Z
98230,TX20240101594713,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-1,NKC-NODE-3,DC-NKC-PRIMARY,DC-NKC-SECONDARY,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:50.047Z
98954,TX20240101004217,DEP,50000,0,50000,MRU,9018,8190,,,,72,SUCCESS,,NKC-NODE-2,NDB-NODE-1,DC-NKC-PRIMARY,DC-NDB,true,2024-01-01,06:43:46,2024-01-01T05:43:46.826Z,2024-01-01T05:43:47.573Z
6198,TX20240101440417,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NKC-NODE-1,NKC-NODE-2,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:13.302Z
11290,TX20240101382931,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NDB-NODE-1,NKC-NODE-3,DC-NDB,DC-NKC-SECONDARY,true,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:12.261Z
15292,TX20240101994933,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NKC-NODE-1,NKC-NODE-1,DC-NKC-PRIMARY,DC-NKC-PRIMARY,false,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:10.605Z
16552,TX20240101897423,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NDB-NODE-1,NKC-NODE-2,DC-NDB,DC-NKC-PRIMARY,true,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:13.277Z
16971,TX20240101951518,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NDB-NODE-2,NDB-NODE-2,DC-NDB,DC-NDB,false,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:11.229Z
39363,TX20240101753071,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NDB-NODE-2,NKC-NODE-1,DC-NDB,DC-NKC-PRIMARY,true,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:10.937Z
91692,TX20240101297232,DEP,10000,0,10000,MRU,10734,9746,,,,96,SUCCESS,,NDB-NODE-2,NKC-NODE-1,DC-NDB,DC-NKC-PRIMARY,true,2024-01-01,08:12:08,2024-01-01T07:12:08.328Z,2024-01-01T07:12:09.144Z
22585,TX20240101514322,WIT,20000,200,20200,MRU,6443,5857,,,,50,SUCCESS,,NKC-NODE-3,NDB-NODE-1,DC-NKC-SECONDARY,DC-NDB,true,2024-01-01,08:28:00,2024-01-01T07:28:00.544Z,2024-01-01T07:28:00.520Z
36108,TX20240101798439,WIT,20000,200,20200,MRU,6443,5857,,,,50,SUCCESS,,NKC-NODE-2,NKC-NODE-3,DC-NKC-PRIMARY,DC-NKC-SECONDARY,true,2024-01-01,08:28:00,2024-01-01T07:28:00.544Z,2024-01-01T07:28:04.122Z
