id,transaction_id,transaction_reference,fee_type,amount,currency,payer_account_id,collector,status,created_at
11827,22739,TX20240711199414,PAY_FEE,26,MRU,10689,MERCHANT,COLLECTED,2024-07-11T08:39:01.748Z
11828,22740,TX20240109268561,WIT_FEE,50,MRU,2661,PLATFORM,COLLECTED,2024-01-09T16:46:07.033Z
11829,22747,TX20241117694912,PAY_FEE,21,MRU,5168,MERCHANT,COLLECTED,2024-11-17T06:13:10.504Z
11830,22749,TX20240820777070,TRF_FEE,25,MRU,9202,PLATFORM,COLLECTED,2024-08-20T13:45:34.446Z
11831,22752,TX20240811143424,PAY_FEE,8,MRU,3943,MERCHANT,COLLECTED,2024-08-11T14:34:21.006Z
11832,22757,TX20240305656509,TRF_FEE,50,MRU,10277,PLATFORM,COLLECTED,2024-03-05T15:47:50.610Z
11833,22760,TX20241008382198,TRF_FEE,50,MRU,4645,PLATFORM,COLLECTED,2024-10-08T16:17:07.857Z
11834,22761,TX20240615620975,TRF_FEE,25,MRU,4711,PLATFORM,COLLECTED,2024-06-15T07:57:32.722Z
11835,22762,TX20241103303375,TRF_FEE,25,MRU,6203,PLATFORM,COLLECTED,2024-11-03T10:27:42.332Z
11836,22765,TX20240919730936,WIT_FEE,50,MRU,1685,PLATFORM,COLLECTED,2024-09-18T22:40:11.509Z
11837,22768,TX20240819712742,TRF_FEE,25,MRU,2238,PLATFORM,COLLECTED,2024-08-19T10:40:17.650Z
11838,22772,TX20240108751991,WIT_FEE,50,MRU,4575,PLATFORM,COLLECTED,2024-01-08T16:09:20.939Z
11839,22777,TX20241208834005,WIT_FEE,50,MRU,62,PLATFORM,COLLECTED,2024-12-08T00:37:56.975Z
11840,22778,TX20240226957117,TRF_FEE,50,MRU,1554,PLATFORM,COLLECTED,2024-02-26T00:30:15.347Z
11841,22780,TX20240203973245,PAY_FEE,9,MRU,7406,MERCHANT,COLLECTED,2024-02-03T08:58:14.010Z
11842,22781,TX20241219754822,WIT_FEE,120,MRU,10763,PLATFORM,COLLECTED,2024-12-19T17:16:28.334Z
11843,22783,TX20240718347158,PAY_FEE,102,MRU,4332,MERCHANT,COLLECTED,2024-07-18T08:44:25.848Z
11844,22784,TX20240723838217,WIT_FEE,50,MRU,8635,PLATFORM,COLLECTED,2024-07-23T12:50:35.268Z
11845,22788,TX20240710915539,TRF_FEE,50,MRU,6911,PLATFORM,COLLECTED,2024-07-10T19:01:19.339Z
11846,22789,TX20240109485103,PAY_FEE,56,MRU,8700,MERCHANT,COLLECTED,2024-01-09T06:46:43.527Z
11847,22790,TX20240529736546,WIT_FEE,50,MRU,2061,PLATFORM,COLLECTED,2024-05-29T16:11:17.714Z
11848,22791,TX20241115040453,WIT_FEE,50,MRU,3676,PLATFORM,COLLECTED,2024-11-15T17:43:35.241Z
11849,22792,TX20240817633569,PAY_FEE,35,MRU,4794,MERCHANT,COLLECTED,2024-08-17T16:15:16.762Z
11850,22793,TX20240129271922,TRF_FEE,50,MRU,1846,PLATFORM,COLLECTED,2024-01-29T15:41:10.957Z
11851,22794,TX20240218087949,SAL_FEE,2430,MRU,340,PLATFORM,COLLECTED,2024-02-17T23:42:14.712Z
11852,22798,TX20241019333807,TRF_FEE,50,MRU,1740,PLATFORM,COLLECTED,2024-10-19T16:32:47.633Z
11853,22800,TX20240415390866,TRF_FEE,25,MRU,8457,PLATFORM,COLLECTED,2024-04-15T11:51:47.845Z
11854,22808,TX20241130922933,TRF_FEE,25,MRU,6786,PLATFORM,COLLECTED,2024-11-30T10:36:14.397Z
11855,22809,TX20241221548434,WIT_FEE,50,MRU,10518,PLATFORM,COLLECTED,2024-12-21T05:28:57.658Z
11856,22811,TX20241110052443,TRF_FEE,25,MRU,1771,PLATFORM,COLLECTED,2024-11-10T09:45:59.078Z
11857,22812,TX20240320249152,TRF_FEE,25,MRU,7525,PLATFORM,COLLECTED,2024-03-20T07:41:20.991Z
11858,22813,TX20241216729931,WIT_FEE,280,MRU,10817,PLATFORM,COLLECTED,2024-12-16T11:57:07.077Z
11859,22817,TX20241220590990,WIT_FEE,50,MRU,8798,PLATFORM,COLLECTED,2024-12-20T12:03:28.790Z
11860,22819,TX20240328627579,PAY_FEE,4,MRU,1822,MERCHANT,COLLECTED,2024-03-28T07:34:42.034Z
11861,22821,TX20240330444606,PAY_FEE,42,MRU,9283,MERCHANT,COLLECTED,2024-03-30T15:11:22.614Z
11862,22822,TX20240111576031,WIT_FEE,50,MRU,8594,PLATFORM,COLLECTED,2024-01-11T06:00:36.124Z
11863,22823,TX20240113145262,TRF_FEE,50,MRU,2600,PLATFORM,COLLECTED,2024-01-13T11:55:17.219Z
11864,22824,TX20240816807619,PAY_FEE,32,MRU,11017,MERCHANT,COLLECTED,2024-08-16T16:32:12.681Z
11865,22825,TX20240613434891,PAY_FEE,30,MRU,1698,MERCHANT,COLLECTED,2024-06-13T13:21:05.928Z
11866,22826,TX20240912251321,WIT_FEE,50,MRU,4855,PLATFORM,COLLECTED,2024-09-12T09:11:44.831Z
11867,22827,TX20240611027658,SAL_FEE,1130,MRU,4972,PLATFORM,COLLECTED,2024-06-11T13:28:15.267Z
11868,22831,TX20240711782985,TRF_FEE,25,MRU,8864,PLATFORM,COLLECTED,2024-07-11T16:34:38.835Z
11869,22833,TX20241126991361,PAY_FEE,44,MRU,1494,MERCHANT,COLLECTED,2024-11-26T09:32:51.584Z
11870,22834,TX20240501891827,TRF_FEE,25,MRU,2625,PLATFORM,COLLECTED,2024-05-01T15:05:43.986Z
